,LoanOriginalAmount,IncomeRange,IsBorrowerHomeOwner
1,9425,"$25,000-49,999",TRUE
2,10000,"$50,000-74,999",FALSE
4,10000,"$25,000-49,999",TRUE
5,15000,"$100,000+",TRUE
6,15000,"$100,000+",TRUE
7,3000,"$25,000-49,999",FALSE
8,10000,"$25,000-49,999",FALSE
9,10000,"$25,000-49,999",TRUE
10,10000,"$25,000-49,999",TRUE
11,13500,"$75,000-99,999",FALSE
12,1000,"$1-24,999",FALSE
13,4000,"$25,000-49,999",FALSE
14,8500,"$50,000-74,999",TRUE
15,19330,"$100,000+",FALSE
16,4000,"$50,000-74,999",TRUE
17,4000,"$75,000-99,999",TRUE
19,15000,"$75,000-99,999",FALSE
20,6500,"$25,000-49,999",FALSE
21,14000,"$50,000-74,999",TRUE
22,3000,"$25,000-49,999",FALSE
23,4000,"$1-24,999",FALSE
24,2000,"$25,000-49,999",FALSE
25,4000,"$25,000-49,999",TRUE
26,4000,"$75,000-99,999",FALSE
27,4000,"$25,000-49,999",FALSE
28,4000,"$75,000-99,999",TRUE
29,10000,"$25,000-49,999",TRUE
30,35000,"$100,000+",TRUE
31,10000,"$25,000-49,999",FALSE
32,2000,"$25,000-49,999",FALSE
33,25000,"$75,000-99,999",TRUE
34,16000,"$100,000+",FALSE
35,10000,"$25,000-49,999",TRUE
36,9000,"$25,000-49,999",FALSE
37,10000,"$100,000+",TRUE
38,5000,"$25,000-49,999",TRUE
39,7000,"$50,000-74,999",TRUE
41,15000,"$100,000+",FALSE
42,13000,"$100,000+",TRUE
44,5000,"$50,000-74,999",FALSE
45,16000,"$100,000+",TRUE
46,25000,"$100,000+",TRUE
47,4000,"$25,000-49,999",FALSE
48,15000,"$50,000-74,999",TRUE
49,15000,"$100,000+",TRUE
50,25000,"$75,000-99,999",TRUE
51,10000,"$75,000-99,999",TRUE
52,2500,"$50,000-74,999",TRUE
53,7000,"$75,000-99,999",TRUE
54,3000,"$25,000-49,999",FALSE
55,18000,"$100,000+",TRUE
56,10000,"$25,000-49,999",FALSE
57,15000,"$50,000-74,999",FALSE
58,2000,"$100,000+",TRUE
59,8000,"$50,000-74,999",FALSE
60,7000,"$25,000-49,999",FALSE
61,25000,"$75,000-99,999",TRUE
62,2000,"$75,000-99,999",TRUE
63,23500,"$50,000-74,999",FALSE
65,5000,"$25,000-49,999",TRUE
66,15000,"$50,000-74,999",TRUE
68,3000,"$50,000-74,999",FALSE
69,1000,"$25,000-49,999",TRUE
70,9000,"$25,000-49,999",TRUE
71,10000,"$50,000-74,999",FALSE
72,2774,"$25,000-49,999",TRUE
73,4500,"$100,000+",FALSE
74,4000,"$50,000-74,999",TRUE
75,2500,"$50,000-74,999",TRUE
76,4000,"$50,000-74,999",FALSE
78,5600,"$75,000-99,999",TRUE
79,4800,$0,TRUE
80,22500,"$75,000-99,999",FALSE
81,4000,"$1-24,999",FALSE
82,25000,"$100,000+",FALSE
83,4000,"$50,000-74,999",FALSE
84,4000,"$25,000-49,999",FALSE
85,20000,"$50,000-74,999",TRUE
86,10000,"$25,000-49,999",TRUE
87,4500,"$50,000-74,999",TRUE
88,4000,"$25,000-49,999",TRUE
89,4000,"$75,000-99,999",TRUE
90,3500,"$75,000-99,999",FALSE
92,3500,"$25,000-49,999",FALSE
94,7000,"$50,000-74,999",TRUE
95,4000,"$50,000-74,999",TRUE
96,20000,"$100,000+",TRUE
97,15000,"$25,000-49,999",FALSE
98,2000,"$1-24,999",FALSE
99,4000,"$50,000-74,999",TRUE
100,10000,"$25,000-49,999",FALSE
102,2932,"$75,000-99,999",TRUE
103,10000,"$100,000+",TRUE
104,15000,"$50,000-74,999",TRUE
105,15000,"$50,000-74,999",FALSE
106,2000,"$25,000-49,999",FALSE
107,10000,"$50,000-74,999",FALSE
108,4000,"$25,000-49,999",FALSE
109,14000,$0,FALSE
110,2000,"$50,000-74,999",TRUE
111,3000,"$50,000-74,999",TRUE
112,4000,"$25,000-49,999",TRUE
113,4000,"$25,000-49,999",TRUE
114,3000,"$50,000-74,999",FALSE
115,13400,"$75,000-99,999",TRUE
116,2000,"$50,000-74,999",FALSE
117,15000,"$75,000-99,999",TRUE
118,2000,"$25,000-49,999",FALSE
119,6000,"$50,000-74,999",TRUE
120,15000,"$50,000-74,999",FALSE
121,10000,"$25,000-49,999",TRUE
122,4000,"$75,000-99,999",TRUE
124,12000,"$25,000-49,999",FALSE
125,15000,"$75,000-99,999",TRUE
127,14000,"$50,000-74,999",TRUE
128,2551,"$25,000-49,999",FALSE
130,10000,"$25,000-49,999",FALSE
